u_eigen,i_eigen,b_eigen,ndcg,recall,precision
135,225,50,0.06913486047850105,0.09730703636535286,0.028787929533123445
10,225,400,0.06908824202726456,0.09724668116523709,0.028799651684640645
110,225,325,0.06895360073197113,0.09692240068065783,0.028652287494138923
110,225,300,0.06888465186454625,0.09687103211952204,0.02864391452876951
85,225,375,0.06883714025936372,0.09675058434282915,0.02863219237725233
110,225,275,0.06881500228188527,0.09683209629322165,0.02863554156340009
110,225,250,0.06875737084157295,0.09672564418303936,0.028605398888070184
110,225,225,0.06870779891923723,0.09663677049740156,0.02860372429499632
60,225,375,0.06866080118711998,0.09655652489683117,0.028570232433518656
110,225,200,0.0685806905330451,0.09651244972907781,0.02855683568892758
110,225,175,0.06853393515087614,0.09650690598012303,0.028541764351262648
110,225,150,0.0684947067487683,0.09637986457222318,0.028530042199745465
110,225,100,0.06847774349331585,0.09651411449142222,0.02855348650277983
35,225,375,0.06847466993363645,0.09643404719001149,0.02854176435126264
110,225,125,0.06844513188633973,0.09631948547789716,0.028525018420523823
85,225,350,0.06842134618929287,0.09627156300276102,0.028466407662937915
110,225,75,0.0684015543758662,0.09636285979140649,0.028508272489784978
10,225,375,0.06834893154429493,0.09617451577762466,0.02847645522138121
60,225,350,0.06820164144991615,0.09603568039383127,0.02838937638153929
110,225,50,0.06816609867582828,0.09604053294095335,0.02842119364994305
85,225,325,0.06815843574583226,0.09595236216706124,0.02837095585772658
85,225,300,0.06812466667997409,0.09593656341507396,0.0283592337062094
85,225,275,0.06800578463604992,0.09577438835603537,0.028324067251657856
35,225,350,0.0680028612349195,0.0958578059664132,0.028355884520061624
85,225,250,0.06792706799991184,0.09565374952061372,0.028303972134771257
85,225,225,0.06789128237617607,0.09560959311847765,0.028295599169401834
10,225,350,0.06788682733299492,0.09560850795084805,0.028290575390180196
85,225,200,0.06787297485563709,0.09570852512654325,0.028293924576327956
60,225,325,0.06784749711051044,0.09552586217580251,0.02825373434255476
135,200,400,0.06778686169487455,0.09475630027235199,0.02788699845937437
85,225,175,0.0677815139084201,0.09561826068156466,0.028268805680219708
60,225,300,0.06776199931921205,0.0953345319390593,0.0282101949226338
85,225,150,0.06775091854097329,0.09547639497682937,0.02826043271485029
85,225,125,0.0676959212271104,0.09536722615236287,0.02822526626029874
35,225,325,0.0676842840507399,0.09539797091519865,0.028210194922633793
60,225,275,0.06766145776378504,0.09515382096753935,0.02816498090963895
85,225,100,0.0676578609187858,0.09542888617442741,0.028228615446446514
60,225,250,0.06759607314075938,0.09508111701072859,0.02815325875812179
85,225,75,0.06756752604397258,0.0953094351961856,0.028188425212673316
10,225,325,0.06754971260029853,0.09506272162681333,0.028124790675865756
60,225,225,0.06753199542798663,0.0949921697894339,0.02812479067586576
35,225,300,0.0675305555946104,0.09514078340122903,0.028136512827382942
35,225,275,0.06750695288501284,0.09504012331325772,0.028124790675865766
60,225,200,0.06748369092373017,0.09497035623769887,0.028121441489717992
60,225,175,0.0674454099436361,0.09500743948181554,0.028109719338200816
10,225,300,0.06742693820089249,0.09491868088451742,0.028079576662870913
35,225,250,0.06741787795280162,0.0948998962253639,0.028091298814388096
60,225,150,0.06741069890526859,0.0948762748445302,0.0281013463728314
60,225,125,0.06736671995994101,0.09479465662138271,0.028094648000535863
35,225,225,0.06736041434584938,0.09486638524981234,0.02808460044209257
10,225,275,0.0673289904362667,0.09472798937720485,0.028052783173688794
85,225,50,0.06731135841742367,0.09487003749521046,0.02808627503516645
60,225,100,0.0673006453196448,0.09475747366340737,0.028072878290575396
10,225,250,0.06727995260552025,0.09470023629391992,0.02804273561524549
35,225,200,0.06726302189290014,0.09477017197239872,0.028062830732132095
10,225,225,0.06723007901426753,0.09465366865800394,0.028032688056802195
60,225,75,0.06720920437357211,0.09464622968937228,0.028041061022171597
35,225,175,0.06719408772522621,0.09469681779870848,0.02804106102217161
35,225,150,0.06715986251200079,0.09461447885682697,0.02803603724294996
10,225,200,0.0671573547987112,0.09457978892299006,0.02800924375376783
10,225,175,0.06712015242379968,0.09456956345328646,0.027999196195324528
35,225,125,0.06711505693953086,0.09458389934886112,0.028019291312211127
10,225,150,0.06710785844374832,0.09454408403128015,0.02801426753298948
10,225,125,0.0670382489799769,0.0944684975516982,0.027985799450733474
35,225,100,0.06701973656965102,0.09445720967044346,0.027987474043807352
135,200,375,0.06697168833696918,0.0937413346041723,0.027523611762341763
10,225,100,0.06694341473087535,0.09431789098758853,0.027947283810034168
35,225,75,0.06686932466736137,0.09421702110692137,0.027917141134704265
60,225,50,0.06686845507742153,0.09421909444182558,0.027940585437738627
10,225,75,0.06680925718963815,0.09408204625845029,0.02787862549400496
110,200,400,0.06680124457232965,0.09373553819066854,0.02752193716926787
135,200,350,0.06659283563593009,0.09337333926357136,0.027409739433317707
35,225,50,0.0665716646218443,0.0938546767713098,0.027831736887936224
10,225,50,0.06648727940336242,0.09370922046308275,0.027789872061089165
135,200,325,0.06636089629426284,0.09305815478849937,0.027290843325072013
135,200,300,0.06610260544126133,0.0927315492300731,0.027197066112934556
85,200,400,0.0659603623109391,0.09273567368098755,0.027200415299082327
135,200,275,0.06594387269139586,0.09245612632910152,0.027136780762274756
110,200,375,0.06591628027842593,0.09247224008309878,0.027088217563132153
135,200,250,0.06590878267527717,0.09243236522018657,0.027125058610757573
135,200,225,0.06586169410321695,0.09234196964905204,0.027113336459240408
135,200,200,0.06576710871091869,0.09234637376726372,0.027094915935427698
135,200,175,0.0657539385860991,0.09234234515515491,0.027093241342353813
135,200,150,0.06566374427871044,0.09224192806575804,0.0270547257016545
